Text,Intent
How do I file a claim for my car insurance?,Complaint
What are the eligibility criteria for a loan?,Enquiry
Can you explain the benefits of this credit card?,Enquiry
I want to inquire about my insurance coverage.,Enquiry
My credit card statement has an incorrect charge.,Complaint
How long does it take to process an insurance claim?,Enquiry
What documents do I need to provide for a loan application?,Enquiry
I want to cancel my credit card.,Complaint
Can you provide details about the loan repayment options?,Enquiry
I need assistance with a rejected insurance claim.,Complaint
How can I increase my credit limit?,Enquiry
I want to know the status of my claim.,Enquiry
What is the interest rate for home loans?,Enquiry
There is an unauthorized transaction on my credit card.,Complaint
How do I check my loan balance?,Enquiry
I want to dispute a fraudulent charge on my credit card.,Complaint
What are the coverage options for health insurance?,Enquiry
I need help with the loan application process.,Enquiry
My insurance premium increased unexpectedly.,Complaint
How do I report a lost credit card?,Complaint
What is the repayment period for personal loans?,Enquiry
Can you explain the terms and conditions of my insurance policy?,Enquiry
I want to request a credit limit increase.,Enquiry
How do I cancel my insurance policy?,Complaint
What are the fees associated with this credit card?,Enquiry
I need assistance with a denied claim.,Complaint
How can I improve my credit score?,Enquiry
I want to know the available loan options.,Enquiry
My credit card was stolen. What should I do?,Complaint
What is the waiting period for insurance claims?,Enquiry
Can you provide information on the loan interest rates?,Enquiry
I want to dispute an incorrect charge on my credit card.,Complaint
What are the deductible options for car insurance?,Enquiry
I need help with the loan approval process.,Enquiry
My insurance claim was rejected. What are my options?,Complaint
How do I apply for a credit card?,Enquiry
What is the repayment schedule for home loans?,Enquiry
There are unrecognized charges on my credit card statement.,Complaint
Can you explain the coverage limits of my insurance policy?,Enquiry
I want to know the loan application status.,Enquiry
My credit card bill is higher than expected. Why?,Complaint
How do I add a driver to my car insurance policy?,Enquiry
What are the requirements for a loan application?,Enquiry
I want to dispute a billing error on my credit card.,Complaint
What are the available health insurance plans?,Enquiry
I need assistance with the loan repayment process.,Enquiry
My insurance premium payment is overdue. What should I do?,Complaint
How do I redeem credit card rewards?,Enquiry
What is the loan approval timeframe?,Enquiry
There is a fraudulent transaction on my credit card. Help!,Complaint
Can you explain the claim settlement process for insurance?,Enquiry
I want to know the credit card benefits and rewards.,Enquiry
How do I update my insurance policy details?,Complaint
What are the repayment options for education loans?,Enquiry
I need help with the loan documentation process.,Enquiry
My insurance coverage was terminated. What are the reasons?,Complaint
How do I close my credit card account?,Complaint
What is the minimum credit score required for a loan?,Enquiry
Can you explain the exclusions in my insurance policy?,Enquiry
I want to know the loan interest calculation method.,Enquiry
My credit card is not working. What should I do?,Complaint
How do I add a beneficiary to my life insurance policy?,Enquiry
What are the types of loans available?,Enquiry
I want to report a stolen credit card.,Complaint
What is the claim process for car insurance?,Enquiry
I need assistance with the loan pre-approval process.,Enquiry
My insurance claim was partially approved. What now?,Complaint
How do I activate my new credit card?,Enquiry
What is the repayment tenure for personal loans?,Enquiry
There is an unauthorized withdrawal from my bank account.,Complaint
Can you explain the waiting period for health insurance?,Enquiry
I want to know the loan repayment schedule.,Enquiry
How do I update my contact information for insurance?,Complaint
What are the fees for cash advances on credit cards?,Enquiry
I need help with a denied loan application.,Complaint
My insurance premium was not deducted from my account. Why?,Complaint
How do I request a credit card replacement?,Enquiry
What is the maximum loan amount I can get?,Enquiry
There are errors in my credit card statement.,Complaint
Can you explain the process of policy renewal for insurance?,Enquiry
I want to know the credit card interest rate.,Enquiry
How do I change the beneficiaries in my insurance policy?,Complaint
What are the repayment options for car loans?,Enquiry
I need assistance with a billing dispute on my credit card.,Complaint
My insurance claim is taking longer than expected. Why?,Complaint
How do I increase the coverage amount for my insurance?,Enquiry
What is the loan application process?,Enquiry
There are unauthorized charges on my credit card. What should I do?,Complaint
Can you provide information on the claim settlement ratio for insurance?,Enquiry
I want to know the credit limit on my card.,Enquiry
How do I update my address for insurance communication?,Complaint
What are the types of collateral accepted for secured loans?,Enquiry
I need help with a fraudulent activity on my credit card.,Complaint
My insurance policy renewal was not processed. Why?,Complaint
How do I apply for a balance transfer on my credit card?,Enquiry
What is the maximum loan tenure available?,Enquiry
There is an incorrect billing address on my credit card statement.,Complaint
Can you explain the policy cancellation process for insurance?,Enquiry
I want to know the credit card cashback offers.,Enquiry
How do I change the mode of premium payment for my insurance?,Complaint
What are the loan foreclosure charges?,Enquiry
I need assistance with a disputed transaction on my credit card.,Complaint
My insurance claim amount is less than expected. What now?,Complaint
How do I add a rider to my life insurance policy?,Enquiry
What are the repayment options for home loans?,Enquiry
I want to report a lost credit card immediately.,Complaint
What is the claim settlement time for health insurance?,Enquiry
I need help with the loan disbursement process.,Enquiry
My insurance policy documents were not received. What should I do?,Complaint
How do I redeem credit card points for rewards?,Enquiry
What is the loan application fee?,Enquiry
There is an unauthorized charge on my credit card bill.,Complaint
Can you explain the policy surrender process for insurance?,Enquiry
I want to know the credit card annual fee.,Enquiry
How do I update my nominee details for insurance?,Complaint
What are the repayment options for personal loans?,Enquiry
I want to dispute a fraudulent charge on my credit card. It appears to be an unauthorized transaction that I did not make. Can you help me resolve this issue?,Complaint
What are the coverage options for health insurance? I'm looking for a policy that covers both medical expenses and hospitalization costs for my family.,Enquiry
I need assistance with the loan application process. Can you guide me through the steps and let me know what documents are required for a smooth application?,Enquiry
My insurance premium increased unexpectedly. I've been a loyal customer for years and I would like an explanation for this sudden rise in the premium amount.,Complaint
How do I report a lost credit card? I can't seem to find it anywhere and I'm worried about unauthorized charges that might occur on my account.,Complaint
What is the repayment period for personal loans? I'm planning to take a loan for a significant purchase and want to understand the time frame for repayment.,Enquiry
Can you explain the terms and conditions of my insurance policy? I want to make sure I understand the coverage details and any limitations or exclusions.,Enquiry
I want to request a credit limit increase. My current credit limit is not sufficient for my needs and I believe I have a good credit history to support an increase.,Enquiry
How do I cancel my insurance policy? Due to changes in my circumstances I no longer require the coverage and would like to terminate the policy.,Complaint
